Model,Threshold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,AUPRC
Logistic Regression,0.99,0.9984317213613595,0.5299145299145299,0.8378378378378378,0.6492146596858639,0.9612814136590164,0.6866441076792491
Random Forest,0.76,0.9994850428350732,0.9333333333333333,0.7567567567567568,0.835820895522388,0.9682869067717126,0.8375195160870101
XGBoost,0.92,0.9993914142596321,0.8428571428571429,0.7972972972972973,0.8194444444444444,0.9723908982139144,0.8249187985410176
